filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia508	DISEASE	97	117	intoxicatiegewoontes	
casos_clinicos_cardiologia508	DISEASE	146	157	hypertensie	
casos_clinicos_cardiologia508	DISEASE	161	173	dyslipidemie	
casos_clinicos_cardiologia508	DISEASE	180	197	diabetes mellitus	
casos_clinicos_cardiologia508	DISEASE	199	230	Breuk van 5e middenhandsbeentje	
casos_clinicos_cardiologia508	DISEASE	232	260	Reactief depressief syndroom	
casos_clinicos_cardiologia508	DISEASE	291	297	NSTEMI	
casos_clinicos_cardiologia508	DISEASE	305	322	coronaire laesies	
casos_clinicos_cardiologia508	DISEASE	371	388	atriumfibrilleren	
casos_clinicos_cardiologia508	DISEASE	1596	1599	DVT	
casos_clinicos_cardiologia508	DISEASE	1636	1657	brede QRS tachycardie	
casos_clinicos_cardiologia508	DISEASE	1678	1681	BRD	
casos_clinicos_cardiologia508	DISEASE	2958	2978	LA licht gedilateerd	
casos_clinicos_cardiologia508	DISEASE	3109	3111	TI	
casos_clinicos_cardiologia508	DISEASE	3165	3185	pericardiale effusie	
casos_clinicos_cardiologia508	DISEASE	3273	3306	acute myocarditis (LV) met oedeem	
casos_clinicos_cardiologia508	DISEASE	3639	3673	Matig gedilateerde linkerventrikel	
casos_clinicos_cardiologia508	DISEASE	3776	3784	Milde AI	
casos_clinicos_cardiologia508	DISEASE	3952	3975	ventriculaire aritmieën	
casos_clinicos_cardiologia508	DISEASE	4067	4083	ritmestoornissen	
casos_clinicos_cardiologia508	DISEASE	4141	4154	myocardoedeem	
casos_clinicos_cardiologia508	DISEASE	4183	4200	acute myocarditis	
casos_clinicos_cardiologia508	DISEASE	4732	4769	Aanhoudende ventriculaire tachycardie	
casos_clinicos_cardiologia508	DISEASE	4788	4805	acute myocarditis	
casos_clinicos_cardiologia491	DISEASE	751	792	tekenen van vergroting van de linkerkamer	
casos_clinicos_cardiologia491	DISEASE	847	867	mitralisregurgitatie	
casos_clinicos_cardiologia491	DISEASE	869	871	MR	
casos_clinicos_cardiologia491	DISEASE	1052	1076	verwijde linkerventrikel	
casos_clinicos_cardiologia491	DISEASE	1286	1316	linkeratrium was sterk verwijd	
casos_clinicos_cardiologia491	DISEASE	1384	1424	links-rechtsshunt door het foramen ovale	
casos_clinicos_cardiologia491	DISEASE	1444	1446	MR	
casos_clinicos_cardiologia491	DISEASE	1726	1739	fibroelastose	
casos_clinicos_cardiologia491	DISEASE	2323	2329	ALCAPA	
casos_clinicos_cardiologia491	DISEASE	2331	2387	Anomalous Left Coronary Artery from the Pulmonary Artery	
casos_clinicos_cardiologia491	DISEASE	2398	2426	Bland-White-Garland syndroom	
casos_clinicos_cardiologia491	DISEASE	2623	2668	aanwezige laesies in het mitralisklepapparaat	
casos_clinicos_cardiologia491	DISEASE	3228	3261	dilatatie van de mitralis annulus	
casos_clinicos_cardiologia491	DISEASE	3434	3436	MR	
casos_clinicos_cardiologia491	DISEASE	3890	3892	MR	
casos_clinicos_cardiologia491	DISEASE	4168	4174	ALCAPA	
casos_clinicos_cardiologia491	DISEASE	4176	4232	Anomalous Left Coronary Artery from the Pulmonary Artery	
casos_clinicos_cardiologia491	DISEASE	4278	4309	ernstige mitralisinsufficiëntie	
casos_clinicos_cardiologia17	DISEASE	892	941	vegetaties op de voorste flap van de mitralisklep	
casos_clinicos_cardiologia17	DISEASE	1001	1040	geperforeerd aneurysma van 1,6 x 1,3 cm	
casos_clinicos_cardiologia17	DISEASE	1054	1075	ernstige regurgitatie	
casos_clinicos_cardiologia17	DISEASE	1088	1150	in de aortaklep meerdere vegetaties gevonden in de drie bladen	
casos_clinicos_cardiologia17	DISEASE	1252	1280	achterste semilunaire blader	
casos_clinicos_cardiologia17	DISEASE	1379	1408	wervelosteomyelitis van L4-L5	
casos_clinicos_cardiologia558	DISEASE	81	99	medicijnallergieën	
casos_clinicos_cardiologia558	DISEASE	124	134	niet-roker	
casos_clinicos_cardiologia558	DISEASE	169	180	hypertensie	
casos_clinicos_cardiologia558	DISEASE	182	184	HT	
casos_clinicos_cardiologia558	DISEASE	187	199	dyslipidemie	
casos_clinicos_cardiologia558	DISEASE	203	206	DM2	
casos_clinicos_cardiologia558	DISEASE	208	221	Hyperurikemie	
casos_clinicos_cardiologia558	DISEASE	223	276	Significante stenose van rechter interne halsslagader	
casos_clinicos_cardiologia558	DISEASE	795	810	angina pectoris	
casos_clinicos_cardiologia558	DISEASE	1129	1146	Centrale obesitas	
casos_clinicos_cardiologia558	DISEASE	1752	1754	IE	
casos_clinicos_cardiologia558	DISEASE	1765	1767	IE	
casos_clinicos_cardiologia558	DISEASE	1829	1899	Niet-gedilateerde linkerventrikel met matige concentrische hypertrofie	
casos_clinicos_cardiologia558	DISEASE	2078	2091	valvulopathie	
casos_clinicos_cardiologia558	DISEASE	2268	2295	tricuspidalisinsufficiëntie	
casos_clinicos_cardiologia558	DISEASE	2297	2299	TI	
casos_clinicos_cardiologia558	DISEASE	2362	2382	pericardiale effusie	
casos_clinicos_cardiologia558	DISEASE	2404	2476	ernstige stenose van 65% van de distale linker hoofdkransslagader (LMCA)	
casos_clinicos_cardiologia558	DISEASE	2479	2537	0% stenose van de proximale anterieure descenderende (LAD)	
casos_clinicos_cardiologia558	DISEASE	2539	2589	90% stenose in het middensegment van de circumflex	
casos_clinicos_cardiologia558	DISEASE	3074	3098	significante LMCA-ziekte	
casos_clinicos_cardiologia558	DISEASE	3102	3117	drievatenziekte	
casos_clinicos_cardiologia558	DISEASE	3216	3219	DM2	
casos_clinicos_cardiologia558	DISEASE	5469	5486	stoppen met roken	
casos_clinicos_cardiologia558	DISEASE	5596	5601	roken	
casos_clinicos_cardiologia558	DISEASE	5784	5817	Chronische ischemische hartziekte	
casos_clinicos_cardiologia558	DISEASE	5819	5847	Progressieve angina pectoris	
casos_clinicos_cardiologia558	DISEASE	5852	5886	meeraderige coronaire aandoeningen	
casos_clinicos_cardiologia558	DISEASE	5990	6027	familiaire gecombineerde dyslipidemie	
casos_clinicos_cardiologia558	DISEASE	6051	6075	type 2 diabetes mellitus	
casos_clinicos_cardiologia301	DISEASE	24	48	overmatig cocaïnegebruik	
casos_clinicos_cardiologia301	DISEASE	66	82	perifere embolie	
casos_clinicos_cardiologia301	DISEASE	434	450	hartaandoeningen	
casos_clinicos_cardiologia301	DISEASE	496	530	allergische reacties op medicijnen	
casos_clinicos_cardiologia301	DISEASE	580	600	intoxicatiegewoontes	
casos_clinicos_cardiologia301	DISEASE	613	659	gebruik van alcohol en andere toxische stoffen	
casos_clinicos_cardiologia301	DISEASE	666	671	roker	
casos_clinicos_cardiologia301	DISEASE	673	682	Coeliakie	
casos_clinicos_cardiologia301	DISEASE	811	820	coeliakie	
casos_clinicos_cardiologia301	DISEASE	1167	1217	proximale occlusie van de rechter humerus slagader	
casos_clinicos_cardiologia301	DISEASE	1331	1386	linker ventrikel suggererend van intracavitaire trombus	
casos_clinicos_cardiologia301	DISEASE	1446	1502	hoge doses giftige alfa-agonisten (cocaïne) had gebruikt	
casos_clinicos_cardiologia301	DISEASE	1874	1896	mobiele apicale trombi	
casos_clinicos_cardiologia301	DISEASE	2225	2242	coronaire laesies	
casos_clinicos_cardiologia301	DISEASE	3230	3252	diepe veneuze trombose	
casos_clinicos_cardiologia301	DISEASE	3538	3587	proximale occlusie van de rechter humerusslagader	
casos_clinicos_cardiologia301	DISEASE	3694	3701	trombus	
casos_clinicos_cardiologia301	DISEASE	3834	3840	emboli	
casos_clinicos_cardiologia301	DISEASE	4071	4085	apicale trombi	
casos_clinicos_cardiologia301	DISEASE	6010	6078	Tricuspidalisklep: morfologisch normaal, met triviale insufficiëntie	
casos_clinicos_cardiologia301	DISEASE	6150	6171	pulmonale hypertensie	
casos_clinicos_cardiologia301	DISEASE	6346	6365	intracardiale shunt	
casos_clinicos_cardiologia301	DISEASE	6789	6810	trombus in de LV apex	
casos_clinicos_cardiologia301	DISEASE	6971	7006	Nierinfarct in de rechter onderpool	
casos_clinicos_cardiologia301	DISEASE	7404	7428	pericardiale afwijkingen	
casos_clinicos_cardiologia301	DISEASE	7613	7635	intracavitaire trombus	
casos_clinicos_cardiologia301	DISEASE	7890	7911	ventriculaire trombus	
casos_clinicos_cardiologia301	DISEASE	7929	7942	myocardoedeem	
casos_clinicos_cardiologia301	DISEASE	7977	7999	ischemische hartziekte	
casos_clinicos_cardiologia301	DISEASE	8033	8161	partiële anomale pulmonale veneuze drainage met links superieure pulmonale vene die draineert naar de linker brachiocephale stam	
casos_clinicos_cardiologia301	DISEASE	8288	8347	perifere arteriële embolie in de rechter bovenste ledemaat.	
casos_clinicos_cardiologia301	DISEASE	8526	8552	intraventriculaire trombus	
casos_clinicos_cardiologia301	DISEASE	8731	8746	apicale trombus	
casos_clinicos_cardiologia301	DISEASE	8902	8916	apicale trombi	
casos_clinicos_cardiologia301	DISEASE	8977	8997	acuut myocardinfarct	
casos_clinicos_cardiologia301	DISEASE	9361	9410	embolisch voorval in de rechter onderste ledemaat	
casos_clinicos_cardiologia301	DISEASE	9750	9757	trombus	
casos_clinicos_cardiologia301	DISEASE	10113	10180	Door cocaïne veroorzaakte stresscardiomyopathie (tako-tsubosyndroom	
casos_clinicos_cardiologia301	DISEASE	10162	10180	tako-tsubosyndroom	
casos_clinicos_cardiologia301	DISEASE	10183	10209	Intraventriculaire trombus	
casos_clinicos_cardiologia301	DISEASE	10268	10338	Proximale occlusie van de rechter humerus slagader van embolische aard	
casos_clinicos_cardiologia301	DISEASE	10368	10478	Embolisme in de linker common en external iliac arteries en in het derde deel van de linker popliteale arterie	
casos_clinicos_cardiologia301	DISEASE	10543	10554	nierinfarct	
casos_clinicos_cardiologia301	DISEASE	10568	10700	Gedeeltelijk anomale pulmonale veneuze drainage met links superieure pulmonale vene die draineert naar de linker brachiocephale stam	
casos_clinicos_cardiologia86	DISEASE	116	137	arteriële hypertensie	
casos_clinicos_cardiologia86	DISEASE	139	163	diabetes mellitus type 2	
casos_clinicos_cardiologia86	DISEASE	180	190	allergieën	
casos_clinicos_cardiologia86	DISEASE	1003	1080	ischemische laesie in het meest posterieure deel van de linker pariëtale kwab	
casos_clinicos_cardiologia86	DISEASE	1185	1202	ischemisch letsel	
casos_clinicos_cardiologia86	DISEASE	1458	1555	significante stenosegegevens gezien in de carotisbollen of in de interne of externe halsslagaders	
casos_clinicos_cardiologia86	DISEASE	1655	1687	laesies in het linker MCA-gebied	
casos_clinicos_cardiologia86	DISEASE	1729	1754	acute ischemische laesies	
casos_clinicos_cardiologia86	DISEASE	1957	1960	LVH	
casos_clinicos_cardiologia86	DISEASE	2101	2104	PFO	
casos_clinicos_cardiologia86	DISEASE	2265	2307	linker pariëtale en frontale herseninfarct	
casos_clinicos_cardiologia86	DISEASE	2525	2546	horizontale nystagmus	
casos_clinicos_cardiologia86	DISEASE	2591	2600	infarcten	
casos_clinicos_cardiologia86	DISEASE	2677	2715	infarct in het linker PICA territorium	
casos_clinicos_cardiologia86	DISEASE	2856	2915	cryptogenetisch linker cerebellair ischemisch herseninfarct	
casos_clinicos_cardiologia86	DISEASE	3017	3037	dilatatie van holtes	
casos_clinicos_cardiologia86	DISEASE	3039	3077	Verdunning van het interatriale septum	
casos_clinicos_cardiologia86	DISEASE	3524	3550	cardio-embolische episodes	
casos_clinicos_cardiologia86	DISEASE	3562	3582	Patent foramen ovale	
casos_clinicos_cardiologia86	DISEASE	3583	3627	Terugkerende cryptogene ischemische beroerte	
casos_clinicos_cardiologia415	DISEASE	108	118	allergieën	
casos_clinicos_cardiologia415	DISEASE	197	217	acuut myocardinfarct	
casos_clinicos_cardiologia415	DISEASE	219	222	AMI	
casos_clinicos_cardiologia415	DISEASE	488	508	ventrikelfibrilleren	
casos_clinicos_cardiologia415	DISEASE	510	512	VF	
casos_clinicos_cardiologia415	DISEASE	643	679	ritmische tachycardie met smalle QRS	
casos_clinicos_cardiologia415	DISEASE	786	793	infarct	
casos_clinicos_cardiologia415	DISEASE	867	898	LAD een milde proximale stenose	
casos_clinicos_cardiologia415	DISEASE	1002	1019	coronaire laesies	
casos_clinicos_cardiologia415	DISEASE	1326	1329	BRD	
casos_clinicos_cardiologia415	DISEASE	2292	2337	Anterior descendens: lichte proximale stenose	
casos_clinicos_cardiologia415	DISEASE	2506	2528	mitralisinsufficiëntie	
casos_clinicos_cardiologia415	DISEASE	2530	2532	MI	
casos_clinicos_cardiologia415	DISEASE	2580	2582	EV	
casos_clinicos_cardiologia415	DISEASE	2925	2937	RV dilatatie	
casos_clinicos_cardiologia415	DISEASE	2950	2975	pailaire spierhyperplasie	
casos_clinicos_cardiologia415	DISEASE	3004	3031	tricuspidalisinsufficiëntie	
casos_clinicos_cardiologia415	DISEASE	3033	3035	TI	
casos_clinicos_cardiologia415	DISEASE	3389	3426	Milde pulmonale arteriële hypertensie	
casos_clinicos_cardiologia415	DISEASE	3428	3431	PAH	
casos_clinicos_cardiologia415	DISEASE	3492	3531	Milde dilatatie van de rechterventrikel	
casos_clinicos_cardiologia415	DISEASE	4023	4035	RV dilatatie	
casos_clinicos_cardiologia415	DISEASE	4051	4097	hyperplasie van papillaire spieren en voorwand	
casos_clinicos_cardiologia415	DISEASE	4112	4156	lichte toename van pulmonale arteriediameter	
casos_clinicos_cardiologia415	DISEASE	4164	4167	PAH	
casos_clinicos_cardiologia415	DISEASE	4328	4344	Brugada-syndroom	
casos_clinicos_cardiologia415	DISEASE	4400	4453	cardiorespiratoire arrestatie (CRP) als gevolg van VF	
casos_clinicos_cardiologia415	DISEASE	4431	4434	CRP	
casos_clinicos_cardiologia415	DISEASE	4468	4484	Brugada syndroom	
casos_clinicos_cardiologia415	DISEASE	4552	4573	CRP als gevolg van VF	
casos_clinicos_cardiologia415	DISEASE	4626	4642	Brugada syndroom	
casos_clinicos_cardiologia176	DISEASE	120	142	ischemische hartziekte	
casos_clinicos_cardiologia176	DISEASE	164	184	acuut myocardinfarct	
casos_clinicos_cardiologia176	DISEASE	216	249	chronische ischemische hartziekte	
casos_clinicos_cardiologia176	DISEASE	281	299	medicijnallergieën	
casos_clinicos_cardiologia176	DISEASE	308	329	Arteriële hypertensie	
casos_clinicos_cardiologia176	DISEASE	369	398	Diabetes mellitus (DM) type 2	
casos_clinicos_cardiologia176	DISEASE	388	390	DM	
casos_clinicos_cardiologia176	DISEASE	516	548	familiaire hypercholesterolaemie	
casos_clinicos_cardiologia176	DISEASE	550	583	Chronische ischemische hartziekte	
