filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia508	MEDICATION	406	418	atorvastatin	
casos_clinicos_cardiologia508	MEDICATION	426	435	lorazepam	
casos_clinicos_cardiologia508	MEDICATION	442	452	bisoprolol	
casos_clinicos_cardiologia508	MEDICATION	461	472	pantoprazol	
casos_clinicos_cardiologia508	MEDICATION	480	485	adiro	
casos_clinicos_cardiologia508	MEDICATION	494	501	orfidal	
casos_clinicos_cardiologia508	MEDICATION	508	520	escitalopram	
casos_clinicos_cardiologia508	MEDICATION	4219	4234	beta-blokátorem	
casos_clinicos_cardiologia508	MEDICATION	4237	4242	ARAII	
casos_clinicos_cardiologia491	MEDICATION	240	250	vitaminu D	
casos_clinicos_cardiologia558	MEDICATION	313	338	kyselina acetylsalicylová	
casos_clinicos_cardiologia558	MEDICATION	366	376	bisoprolol	
casos_clinicos_cardiologia558	MEDICATION	398	410	atorvastatin	
casos_clinicos_cardiologia558	MEDICATION	431	439	ramipril	
casos_clinicos_cardiologia558	MEDICATION	459	468	omeprazol	
casos_clinicos_cardiologia558	MEDICATION	540	552	lormetazepam	
casos_clinicos_cardiologia558	MEDICATION	3890	3902	rosuvastatin	
casos_clinicos_cardiologia558	MEDICATION	5126	5133	Champix	
casos_clinicos_cardiologia558	MEDICATION	3915	3923	ezetimib	
casos_clinicos_cardiologia558	MEDICATION	340	343	ASA	
casos_clinicos_cardiologia558	MEDICATION	4009	4020	semaglutidu	
casos_clinicos_cardiologia558	MEDICATION	4128	4139	semaglutidu	
casos_clinicos_cardiologia558	MEDICATION	4766	4777	semaglutidu	
casos_clinicos_cardiologia558	MEDICATION	489	511	metformin+empaglifozin	
casos_clinicos_cardiologia558	MEDICATION	3972	3978	arGLP1	
casos_clinicos_cardiologia558	MEDICATION	5112	5124	vareniklinem	
casos_clinicos_cardiologia301	MEDICATION	9056	9070	acenokumarolem	
casos_clinicos_cardiologia301	MEDICATION	2104	2120	heparinem sodným	
casos_clinicos_cardiologia301	MEDICATION	8384	8400	heparinem sodným	
casos_clinicos_cardiologia301	MEDICATION	8601	8617	heparinu sodného	
casos_clinicos_cardiologia86	MEDICATION	215	223	losartan	
casos_clinicos_cardiologia86	MEDICATION	2116	2121	Adiro	
casos_clinicos_cardiologia86	MEDICATION	2661	2666	Adiro	
casos_clinicos_cardiologia86	MEDICATION	2632	2639	Sintrom	
casos_clinicos_cardiologia86	MEDICATION	2135	2149	atorvastatinem	
casos_clinicos_cardiologia86	MEDICATION	159	168	inzulinem	
casos_clinicos_cardiologia86	MEDICATION	169	175	Lantus	
casos_clinicos_cardiologia415	MEDICATION	3719	3733	beta-blokátorů	
casos_clinicos_cardiologia415	MEDICATION	3969	3983	flekainidového	
casos_clinicos_cardiologia176	MEDICATION	1682	1685	ASA	
casos_clinicos_cardiologia176	MEDICATION	1288	1302	atorvastatinem	
casos_clinicos_cardiologia176	MEDICATION	1859	1873	atorvastatinem	
casos_clinicos_cardiologia176	MEDICATION	5093	5107	atorvastatinem	
casos_clinicos_cardiologia176	MEDICATION	1880	1890	ezetimibem	
casos_clinicos_cardiologia176	MEDICATION	5114	5124	ezetimibem	
casos_clinicos_cardiologia176	MEDICATION	1655	1680	kyseliny acetylsalicylové	
casos_clinicos_cardiologia176	MEDICATION	4670	4677	statinu	
casos_clinicos_cardiologia251	MEDICATION	418	432	acenokumarolem	
casos_clinicos_cardiologia251	MEDICATION	1432	1443	ampicilinem	
casos_clinicos_cardiologia251	MEDICATION	434	448	atorvastatinem	
casos_clinicos_cardiologia251	MEDICATION	484	496	bisoprololem	
casos_clinicos_cardiologia251	MEDICATION	460	471	enalaprilem	
casos_clinicos_cardiologia251	MEDICATION	1446	1458	gentamicinem	
casos_clinicos_cardiologia251	MEDICATION	1418	1430	kloxacilinem	
casos_clinicos_cardiologia153	MEDICATION	3267	3281	acenokumarolem	
casos_clinicos_cardiologia153	MEDICATION	353	363	alteplázou	
casos_clinicos_cardiologia593	MEDICATION	558	567	lakosamid	
casos_clinicos_cardiologia593	MEDICATION	594	603	sirolimus	
casos_clinicos_cardiologia593	MEDICATION	172	182	everolimem	
casos_clinicos_cardiologia574	MEDICATION	801	826	kyselina acetylsalicylová	
casos_clinicos_cardiologia574	MEDICATION	846	856	bisoprolol	
casos_clinicos_cardiologia574	MEDICATION	2444	2454	bisoprolol	
casos_clinicos_cardiologia574	MEDICATION	868	883	inzulin glargin	
casos_clinicos_cardiologia574	MEDICATION	2505	2520	inzulin glargin	
casos_clinicos_cardiologia574	MEDICATION	938	949	gembifrozil	
casos_clinicos_cardiologia574	MEDICATION	963	972	omeprazol	
casos_clinicos_cardiologia574	MEDICATION	2383	2392	omeprazol	
casos_clinicos_cardiologia574	MEDICATION	2468	2489	rosuvastatin-ezetimib	
casos_clinicos_cardiologia574	MEDICATION	2534	2555	metformin-sitagliptin	
casos_clinicos_cardiologia574	MEDICATION	2421	2431	ticagrelor	
casos_clinicos_cardiologia574	MEDICATION	828	831	ASA	
casos_clinicos_cardiologia574	MEDICATION	2404	2407	ASA	
casos_clinicos_cardiologia574	MEDICATION	896	917	metformin+sitagliptin	
casos_clinicos_cardiologia574	MEDICATION	4646	4658	inzulinového	
casos_clinicos_cardiologia574	MEDICATION	4408	4419	dulaglutidu	
casos_clinicos_cardiologia109	MEDICATION	2743	2754	furosemidem	
casos_clinicos_cardiologia109	MEDICATION	254	279	salmeterolem/flutikasonem	
casos_clinicos_cardiologia109	MEDICATION	203	216	simvastatinem	
casos_clinicos_cardiologia109	MEDICATION	228	241	montelukastem	
casos_clinicos_cardiologia65	MEDICATION	867	876	Labetalol	
casos_clinicos_cardiologia65	MEDICATION	979	988	labetalol	
casos_clinicos_cardiologia65	MEDICATION	882	897	síran hořečnatý	
casos_clinicos_cardiologia65	MEDICATION	1165	1174	nifedipin	
casos_clinicos_cardiologia65	MEDICATION	1189	1198	enalapril	
casos_clinicos_cardiologia65	MEDICATION	1413	1424	sumatriptan	
casos_clinicos_cardiologia65	MEDICATION	251	259	triptany	
casos_clinicos_cardiologia65	MEDICATION	3102	3108	adirem	
casos_clinicos_cardiologia65	MEDICATION	3256	3267	amlodipinem	
casos_clinicos_cardiologia65	MEDICATION	657	668	labetalolem	labetalol
casos_clinicos_cardiologia65	MEDICATION	1703	1718	nitroglycerinem	
casos_clinicos_cardiologia65	MEDICATION	671	689	síranem hořečnatým	
casos_clinicos_cardiologia65	MEDICATION	3240	3254	inhibitory ACE	
casos_clinicos_cardiologia65	MEDICATION	3270	3283	betablokátory	
casos_clinicos_cardiologia68	MEDICATION	778	787	diazepamu	
casos_clinicos_cardiologia185	MEDICATION	4167	4179	albendazolem	
casos_clinicos_cardiologia528	MEDICATION	4884	4895	furosemidem	
casos_clinicos_cardiologia528	MEDICATION	4931	4944	levosimendanu	
casos_clinicos_cardiologia528	MEDICATION	2230	2243	nitroprusidem	
casos_clinicos_cardiologia88	MEDICATION	367	376	enalapril	
casos_clinicos_cardiologia88	MEDICATION	378	384	statin	
casos_clinicos_cardiologia88	MEDICATION	387	396	omeprazol	
casos_clinicos_cardiologia288	MEDICATION	292	302	citalopram	
casos_clinicos_cardiologia288	MEDICATION	4855	4862	statinů	
