filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia508	PROCEDURE	34	52	EXPLORACIÓN FÍSICA	
casos_clinicos_cardiologia508	PROCEDURE	289	304	coronariografía	
casos_clinicos_cardiologia508	PROCEDURE	901	924	cardioversión eléctrica	
casos_clinicos_cardiologia508	PROCEDURE	1015	1033	Exploración física	
casos_clinicos_cardiologia508	PROCEDURE	1233	1254	Auscultación pulmonar	
casos_clinicos_cardiologia508	PROCEDURE	1300	1321	Auscultación cardiaca	
casos_clinicos_cardiologia508	PROCEDURE	1533	1536	ECG	
casos_clinicos_cardiologia508	PROCEDURE	1736	1739	ECG	
casos_clinicos_cardiologia508	PROCEDURE	1826	1846	Radiografía de tórax	
casos_clinicos_cardiologia508	PROCEDURE	1891	1911	Radiografía de tórax	
casos_clinicos_cardiologia508	PROCEDURE	2372	2388	Función tiroidea	
casos_clinicos_cardiologia508	PROCEDURE	2422	2431	Hemograma	
casos_clinicos_cardiologia508	PROCEDURE	2568	2582	Ecocardiograma	
casos_clinicos_cardiologia508	PROCEDURE	3153	3182	Resonancia magnética cardiaca	
casos_clinicos_cardiologia508	PROCEDURE	3184	3187	RMC	
casos_clinicos_cardiologia508	PROCEDURE	3659	3685	Estudio electrofisiológico	
casos_clinicos_cardiologia508	PROCEDURE	3942	3945	RMC	
casos_clinicos_cardiologia508	PROCEDURE	4096	4120	implantar DAI subcutáneo	
casos_clinicos_cardiologia508	PROCEDURE	4122	4166	Se implanta DAI subcutáneo modelo EMBLEM MRI	
casos_clinicos_cardiologia508	PROCEDURE	4374	4408	tratamiento betabloqueante y ARAII	
casos_clinicos_cardiologia508	PROCEDURE	2309	2329	Marcadores cardiacos	
casos_clinicos_cardiologia508	PROCEDURE	2028	2037	Analítica	
casos_clinicos_cardiologia508	PROCEDURE	2039	2049	Bioquímica	
casos_clinicos_cardiologia491	PROCEDURE	634	652	electrocardiograma	
casos_clinicos_cardiologia491	PROCEDURE	864	892	ecocardiograma transtorácico	
casos_clinicos_cardiologia491	PROCEDURE	894	897	ETT	
casos_clinicos_cardiologia491	PROCEDURE	914	917	ETT	
casos_clinicos_cardiologia491	PROCEDURE	1722	1752	estudio de la arteria pulmonar	
casos_clinicos_cardiologia491	PROCEDURE	2016	2019	ETT	
casos_clinicos_cardiologia491	PROCEDURE	2106	2119	TAC coronario	
casos_clinicos_cardiologia491	PROCEDURE	2124	2137	TAC coronario	
casos_clinicos_cardiologia491	PROCEDURE	2458	2478	reimplante coronario	
casos_clinicos_cardiologia491	PROCEDURE	2481	2523	cirugía reparadora sobre la válvula mitral	
casos_clinicos_cardiologia491	PROCEDURE	2608	2611	ETT	
casos_clinicos_cardiologia491	PROCEDURE	2659	2679	reimplante coronario	
casos_clinicos_cardiologia491	PROCEDURE	2728	2740	esternotomía	
casos_clinicos_cardiologia491	PROCEDURE	2826	2865	resección del botón coronario izquierdo	
casos_clinicos_cardiologia491	PROCEDURE	2870	2925	anastomosis a la pared posterior de la aorta ascendente	
casos_clinicos_cardiologia491	PROCEDURE	2928	2940	cierre de AP	
casos_clinicos_cardiologia491	PROCEDURE	2966	3095	plastia mitral con sutura de la comisura anterior hasta un tercio de la válvula mitral y sutura de pseudo-cleft de velo posterior	
casos_clinicos_cardiologia491	PROCEDURE	3282	3285	ETT	
casos_clinicos_cardiologia491	PROCEDURE	3573	3576	ETT	
casos_clinicos_cardiologia491	PROCEDURE	3898	3914	plicatura mitral	
casos_clinicos_cardiologia491	PROCEDURE	4233	4264	Cirugía de reimplante coronario	
casos_clinicos_cardiologia491	PROCEDURE	4267	4281	plastia mitral	
casos_clinicos_cardiologia491	PROCEDURE	1794	1807	Doppler color	
casos_clinicos_cardiologia491	PROCEDURE	34	52	EXPLORACIÓN FÍSICA	
casos_clinicos_cardiologia491	PROCEDURE	768	783	ecocardioscopia	
casos_clinicos_cardiologia491	PROCEDURE	444	455	exploración	
casos_clinicos_cardiologia491	PROCEDURE	2692	2704	intervención	
casos_clinicos_cardiologia17	PROCEDURE	173	187	examen clínico	
casos_clinicos_cardiologia17	PROCEDURE	642	662	radiografía de tórax	
casos_clinicos_cardiologia17	PROCEDURE	798	828	ecocardiografía transesofágica	
casos_clinicos_cardiologia17	PROCEDURE	1297	1309	hemocultivos	
casos_clinicos_cardiologia17	PROCEDURE	1362	1393	resonancia magnética lumbosacra	
casos_clinicos_cardiologia17	PROCEDURE	1530	1605	reemplazo bivalvular aórtico y mitral con el implante de prótesis mecánicas	
casos_clinicos_cardiologia17	PROCEDURE	717	755	trazado electrocardiográfico en reposo	
casos_clinicos_cardiologia17	PROCEDURE	1448	1463	acto quirúrgico	
casos_clinicos_cardiologia558	PROCEDURE	34	52	EXPLORACIÓN FÍSICA	
casos_clinicos_cardiologia558	PROCEDURE	259	334	arteria carótida interna derecha con revascularización percutánea con stent	
casos_clinicos_cardiologia558	PROCEDURE	846	874	ecocardiograma transtorácico	
