filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia508	SYMPTOM	381	408	Preserved systolic function	
casos_clinicos_cardiologia508	SYMPTOM	665	686	oppressive chest pain	
casos_clinicos_cardiologia508	SYMPTOM	697	709	palpitations	
casos_clinicos_cardiologia508	SYMPTOM	817	846	wide QRS rhythmic tachycardia	
casos_clinicos_cardiologia508	SYMPTOM	965	977	sinus rhythm	
casos_clinicos_cardiologia508	SYMPTOM	1745	1757	sinus rhythm	
casos_clinicos_cardiologia508	SYMPTOM	1146	1155	Conscious	
casos_clinicos_cardiologia508	SYMPTOM	1157	1165	oriented	
casos_clinicos_cardiologia508	SYMPTOM	1185	1198	normohydrated	
casos_clinicos_cardiologia508	SYMPTOM	1200	1207	Eupneic	
casos_clinicos_cardiologia508	SYMPTOM	1212	1233	jugular ingurgitation	
casos_clinicos_cardiologia508	SYMPTOM	1259	1275	normoventilation	
casos_clinicos_cardiologia508	SYMPTOM	1316	1330	rhythmic tones	
casos_clinicos_cardiologia508	SYMPTOM	1332	1343	tachycardic	
casos_clinicos_cardiologia508	SYMPTOM	1418	1439	peritoneal irritation	
casos_clinicos_cardiologia508	SYMPTOM	1769	1779	narrow QRS	
casos_clinicos_cardiologia508	SYMPTOM	1814	1847	Chest X-ray: preserved silhouette	
casos_clinicos_cardiologia508	SYMPTOM	1852	1868	congestive signs	
casos_clinicos_cardiologia508	SYMPTOM	3031	3051	intracavitary masses	
casos_clinicos_cardiologia508	SYMPTOM	3494	3518	normal systolic function	
casos_clinicos_cardiologia508	SYMPTOM	3531	3549	Normal RV function	
casos_clinicos_cardiologia508	SYMPTOM	3579	3630	Electrophysiological study: no significant findings	
casos_clinicos_cardiologia508	SYMPTOM	4368	4380	asymptomatic	
casos_clinicos_cardiologia508	SYMPTOM	377	379	RS	
casos_clinicos_cardiologia508	SYMPTOM	1167	1180	normal colour	
casos_clinicos_cardiologia508	SYMPTOM	1280	1292	extra sounds	
casos_clinicos_cardiologia508	SYMPTOM	1345	1399	Abdomen soft and depressible, not painful on palpation	
