filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia508	SYMPTOM	680	704	durere toracică opresivă	
casos_clinicos_cardiologia508	SYMPTOM	998	1010	ritm sinusal	
casos_clinicos_cardiologia508	SYMPTOM	1801	1813	ritm sinusal	
casos_clinicos_cardiologia508	SYMPTOM	1197	1206	Conștient	
casos_clinicos_cardiologia508	SYMPTOM	1237	1250	normohidratat	
casos_clinicos_cardiologia508	SYMPTOM	1252	1259	Eupneic	
casos_clinicos_cardiologia508	SYMPTOM	1311	1326	normoventilație	
casos_clinicos_cardiologia508	SYMPTOM	847	857	tahicardie	
casos_clinicos_cardiologia508	SYMPTOM	1393	1403	tahicardie	
casos_clinicos_cardiologia508	SYMPTOM	1605	1615	tahicardie	
casos_clinicos_cardiologia508	SYMPTOM	4580	4590	Tahicardie	
casos_clinicos_cardiologia508	SYMPTOM	1472	1492	iritație peritoneală	
casos_clinicos_cardiologia508	SYMPTOM	1825	1835	QRS îngust	
casos_clinicos_cardiologia508	SYMPTOM	1915	1931	semne congestive	
casos_clinicos_cardiologia508	SYMPTOM	2751	2785	Funcția sistolică globală păstrată	
casos_clinicos_cardiologia508	SYMPTOM	3600	3625	funcție sistolică normală	
casos_clinicos_cardiologia508	SYMPTOM	3697	3752	Studiu electrofiziologic: fără constatări semnificative	
casos_clinicos_cardiologia508	SYMPTOM	4482	4494	asimptomatic	
casos_clinicos_cardiologia508	SYMPTOM	401	403	RS	
casos_clinicos_cardiologia508	SYMPTOM	1717	1719	rS	
casos_clinicos_cardiologia508	SYMPTOM	3660	3684	Atriile nu sunt dilatate	atrii nedilatate
casos_clinicos_cardiologia508	SYMPTOM	1355	1391	Auscultație cardiacă: tonuri ritmice	auscultație cardiacă: zgomote ritmice
casos_clinicos_cardiologia508	SYMPTOM	2975	2996	Camere drepte normale	cavități drepte normale
casos_clinicos_cardiologia508	SYMPTOM	405	431	Funcție sistolică păstrată	
casos_clinicos_cardiologia508	SYMPTOM	1516	1547	Membrele inferioare: fără edeme	
casos_clinicos_cardiologia508	SYMPTOM	1494	1514	Peristaltism păstrat	
casos_clinicos_cardiologia508	SYMPTOM	1842	1866	anomalii de repolarizare	
casos_clinicos_cardiologia508	SYMPTOM	1218	1233	culoare normală	
casos_clinicos_cardiologia508	SYMPTOM	1268	1286	ingerință jugulară	jugulare turgide
casos_clinicos_cardiologia508	SYMPTOM	3151	3172	maselor intracavitare	formațiuni intracavitare
casos_clinicos_cardiologia508	SYMPTOM	1436	1456	nedureros la palpare	
