filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia508	SYMPTOM	413	415	RS	
casos_clinicos_cardiologia508	SYMPTOM	417	445	Behouden systolische functie	
casos_clinicos_cardiologia508	SYMPTOM	708	734	drukkende pijn op de borst	
casos_clinicos_cardiologia508	SYMPTOM	745	759	hartkloppingen	
casos_clinicos_cardiologia508	SYMPTOM	878	909	brede QRS ritmische tachycardie	
casos_clinicos_cardiologia508	SYMPTOM	1042	1052	sinusritme	
casos_clinicos_cardiologia508	SYMPTOM	1217	1231	Bij bewustzijn	
casos_clinicos_cardiologia508	SYMPTOM	1233	1245	georiënteerd	
casos_clinicos_cardiologia508	SYMPTOM	1247	1260	normale kleur	
casos_clinicos_cardiologia508	SYMPTOM	1264	1276	normohydraat	
casos_clinicos_cardiologia508	SYMPTOM	1278	1285	Eupneus	
casos_clinicos_cardiologia508	SYMPTOM	1292	1314	jugulaire ingurgitatie	
casos_clinicos_cardiologia508	SYMPTOM	1316	1354	Pulmonale auscultatie: normoventilatie	
casos_clinicos_cardiologia508	SYMPTOM	1361	1375	extra geluiden	
casos_clinicos_cardiologia508	SYMPTOM	1395	1410	ritmische tonen	
casos_clinicos_cardiologia508	SYMPTOM	1412	1425	tachycardisch	
casos_clinicos_cardiologia508	SYMPTOM	1427	1477	Buik zacht en drukkend, niet pijnlijk bij palpatie	
casos_clinicos_cardiologia508	SYMPTOM	1498	1520	peritoneale prikkeling	
casos_clinicos_cardiologia508	SYMPTOM	1522	1543	Peristaltiek behouden	
casos_clinicos_cardiologia508	SYMPTOM	1545	1580	Onderste extremiteiten: geen oedeem	
casos_clinicos_cardiologia508	SYMPTOM	1636	1657	brede QRS tachycardie	
casos_clinicos_cardiologia508	SYMPTOM	1835	1845	sinusritme	
casos_clinicos_cardiologia508	SYMPTOM	1858	1868	smalle QRS	
casos_clinicos_cardiologia508	SYMPTOM	1875	1899	repolarisatieafwijkingen	
casos_clinicos_cardiologia508	SYMPTOM	1901	1940	Röntgenfoto borstkas: behouden silhouet	
casos_clinicos_cardiologia508	SYMPTOM	1947	1968	tekenen van congestie	
casos_clinicos_cardiologia508	SYMPTOM	2662	2708	LV-afmetingen op de bovengrens van normaliteit	
casos_clinicos_cardiologia508	SYMPTOM	2777	2813	Globale systolische functie behouden	
casos_clinicos_cardiologia508	SYMPTOM	2932	2945	LVOT elevatie	
casos_clinicos_cardiologia508	SYMPTOM	3008	3028	Normale rechterkamer	
casos_clinicos_cardiologia508	SYMPTOM	3030	3061	Aortawortel van normale grootte	
casos_clinicos_cardiologia508	SYMPTOM	3063	3093	MV en VAo zonder veranderingen	
casos_clinicos_cardiologia508	SYMPTOM	3188	3210	intracavitaire massa's	
casos_clinicos_cardiologia508	SYMPTOM	3299	3305	oedeem	
casos_clinicos_cardiologia508	SYMPTOM	3691	3718	normale systolische functie	
casos_clinicos_cardiologia508	SYMPTOM	3731	3749	Normale RV functie	
casos_clinicos_cardiologia508	SYMPTOM	3751	3773	Atria niet gedilateerd	
casos_clinicos_cardiologia508	SYMPTOM	3785	3845	Elektrofysiologisch onderzoek: geen significante bevindingen	
casos_clinicos_cardiologia508	SYMPTOM	4454	4459	Loopt	
casos_clinicos_cardiologia508	SYMPTOM	4612	4626	asymptomatisch	
casos_clinicos_cardiologia491	SYMPTOM	232	236	ruis	
casos_clinicos_cardiologia491	SYMPTOM	369	410	vermoeidheid vertoonde tijdens het voeden	
casos_clinicos_cardiologia491	SYMPTOM	415	469	ontwikkeling van de status van de patiënte was normaal	
casos_clinicos_cardiologia491	SYMPTOM	499	506	cyanose	
casos_clinicos_cardiologia491	SYMPTOM	510	534	ademhalingsmoeilijkheden	
casos_clinicos_cardiologia491	SYMPTOM	536	569	perifere pulsaties waren behouden	
casos_clinicos_cardiologia491	SYMPTOM	597	632	systolisch geruis in mitralis focus	
casos_clinicos_cardiologia491	SYMPTOM	703	720	sinus tachycardie	
casos_clinicos_cardiologia491	SYMPTOM	958	971	situs solitus	
casos_clinicos_cardiologia491	SYMPTOM	973	983	levocardia	
casos_clinicos_cardiologia491	SYMPTOM	985	1042	atrioventriculaire en ventriculair-arteriële concordantie	
casos_clinicos_cardiologia491	SYMPTOM	1118	1157	behouden linkerventrikel ejectiefractie	
casos_clinicos_cardiologia491	SYMPTOM	1173	1201	milde inferieure hypokinesie	
casos_clinicos_cardiologia491	SYMPTOM	1322	1376	uitstulping van het tussenschot naar het rechteratrium	
casos_clinicos_cardiologia491	SYMPTOM	3584	3598	asymptomatisch	
casos_clinicos_cardiologia17	SYMPTOM	111	117	braken	
casos_clinicos_cardiologia17	SYMPTOM	119	125	koorts	
casos_clinicos_cardiologia17	SYMPTOM	138	168	ernstige invaliderende rugpijn	
casos_clinicos_cardiologia17	SYMPTOM	200	320	multifocaal holosystolisch geruis, voornamelijk in de mitralis met intensiteit III/VI, uitstralend naar de axilla en nek	
casos_clinicos_cardiologia17	SYMPTOM	322	356	Positieve Lasegue en Psoas tekenen	
casos_clinicos_cardiologia17	SYMPTOM	366	405	positieve Dandy tekenen op L3, L4 en L5	
casos_clinicos_cardiologia17	SYMPTOM	695	706	condensatie	
casos_clinicos_cardiologia17	SYMPTOM	715	781	elektrocardiografie in rust vertoonde geen relevante veranderingen	
casos_clinicos_cardiologia17	SYMPTOM	825	874	betrokkenheid bij de mitralisklep en de aortaklep	
casos_clinicos_cardiologia17	SYMPTOM	1180	1201	ernstige regurgitatie	
casos_clinicos_cardiologia17	SYMPTOM	1289	1340	bloedkweken werd Streptococcus gordonnii geïsoleerd	
casos_clinicos_cardiologia558	SYMPTOM	992	1015	Goede algemene conditie	
casos_clinicos_cardiologia558	SYMPTOM	1017	1047	goed gehydrateerd en doorbloed	
casos_clinicos_cardiologia558	SYMPTOM	1049	1064	Eupneus in rust	
casos_clinicos_cardiologia558	SYMPTOM	1066	1085	verdraagt decubitus	
