filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia508	SYMPTOM	401	403	RS	
casos_clinicos_cardiologia508	SYMPTOM	405	431	Funcție sistolică păstrată	
casos_clinicos_cardiologia508	SYMPTOM	680	704	durere toracică opresivă	
casos_clinicos_cardiologia508	SYMPTOM	708	771	palpitații rapide de debut brusc cu iradiere la nivelul gâtului	
casos_clinicos_cardiologia508	SYMPTOM	847	857	tahicardie	
casos_clinicos_cardiologia508	SYMPTOM	858	865	ritmică	
casos_clinicos_cardiologia508	SYMPTOM	869	877	QRS larg	
casos_clinicos_cardiologia508	SYMPTOM	998	1010	ritm sinusal	
casos_clinicos_cardiologia508	SYMPTOM	1197	1206	Conștient	
casos_clinicos_cardiologia508	SYMPTOM	1208	1216	orientat	
casos_clinicos_cardiologia508	SYMPTOM	1218	1233	culoare normală	
casos_clinicos_cardiologia508	SYMPTOM	1237	1250	normohidratat	
casos_clinicos_cardiologia508	SYMPTOM	1252	1259	Eupneic	
casos_clinicos_cardiologia508	SYMPTOM	1268	1284	jugulare turgide	
casos_clinicos_cardiologia508	SYMPTOM	1309	1324	normoventilație	
casos_clinicos_cardiologia508	SYMPTOM	1326	1350	fără raluri suplimentare	
casos_clinicos_cardiologia508	SYMPTOM	1352	1389	auscultație cardiacă: zgomote ritmice	
casos_clinicos_cardiologia508	SYMPTOM	1391	1401	tahicardie	
casos_clinicos_cardiologia508	SYMPTOM	1403	1432	Abdomenul moale și depresibil	
casos_clinicos_cardiologia508	SYMPTOM	1434	1454	nedureros la palpare	
casos_clinicos_cardiologia508	SYMPTOM	1470	1490	iritație peritoneală	
casos_clinicos_cardiologia508	SYMPTOM	1492	1512	Peristaltism păstrat	
casos_clinicos_cardiologia508	SYMPTOM	1514	1545	Membrele inferioare: fără edeme	
casos_clinicos_cardiologia508	SYMPTOM	1603	1613	tahicardie	
casos_clinicos_cardiologia508	SYMPTOM	1617	1625	QRS larg	
casos_clinicos_cardiologia508	SYMPTOM	1715	1717	rS	
casos_clinicos_cardiologia508	SYMPTOM	1799	1811	ritm sinusal	
casos_clinicos_cardiologia508	SYMPTOM	1823	1833	QRS îngust	
casos_clinicos_cardiologia508	SYMPTOM	1840	1864	anomalii de repolarizare	
casos_clinicos_cardiologia508	SYMPTOM	1888	1906	siluetă conservată	
casos_clinicos_cardiologia508	SYMPTOM	1913	1929	semne congestive	
